elig,lwage,vet,yob
0,5.0106001,0,53
0,5.5956001,0,50
1,5.3989,1,52
0,5.6149998,0,53
0,4.8435998,1,51
0,5.3544002,0,51
0,5.3544002,0,50
0,4.9253001,1,52
0,5.3544002,0,53
1,4.7810998,0,53
1,5.6364999,0,51
0,5.1553001,0,50
0,4.8009,0,53
0,5.9268999,1,51
1,5.9521999,0,51
0,5.901,0,53
1,5.3079,0,50
1,5.1357999,0,51
1,5.5546999,0,53
0,5.5015001,0,52
1,4.8669,0,52
0,4.9024,0,51
0,4.8674998,1,53
0,5.0925002,0,51
1,5.7897,1,50
1,5.1321998,1,51
0,5.2673001,0,53
0,5.8772001,0,50
0,5.5235,0,50
0,4.6051998,0,53
0,5.6645999,0,50
1,6.0009999,0,53
0,5.7164998,0,52
0,6.1255002,0,50
1,5.3544002,0,51
0,4.5658998,1,53
0,5.1536999,0,53
0,5.1616001,0,53
0,6.1346002,1,50
0,5.6645999,0,53
0,3.2551999,0,52
0,5.2182999,0,53
0,4.9383001,0,51
1,6.092,0,52
0,5.3723998,1,50
1,5.1255999,0,51
0,5.0359998,0,53
0,4.5163002,0,53
0,3.2834001,1,52
0,5.7291002,1,50
0,5.3544002,0,52
0,5.9422002,0,51
1,5.0541,0,53
0,5.5215001,0,52
1,5.7340999,1,50
1,5.4246001,0,53
0,5.4579,0,51
0,6.0669999,0,52
1,5.1757002,0,51
1,5.1002998,1,53
0,4.9236002,0,50
0,5.7599001,0,52
0,5.5785999,0,52
0,5.4380999,0,51
0,5.5739002,0,50
0,4.9024,0,52
0,5.2591,0,51
1,5.6844001,0,52
1,5.0966001,0,52
1,6.2887001,0,52
0,5.2785001,0,51
0,5.5956001,1,51
0,5.6348,0,51
0,3.1236,0,51
0,5.7038002,0,50
1,5.0359998,1,50
0,5.8186998,0,53
0,4.8283,0,53
0,5.2729998,0,51
0,4.9972,0,53
0,4.0072999,0,51
0,5.4902,0,50
1,5.3936,1,52
0,5.7291002,0,52
0,5.5531998,0,52
0,5.1536999,0,53
0,5.9268999,0,50
1,5.7838001,0,50
1,4.8929,0,51
1,5.6711998,0,52
1,5.8469,0,51
0,5.6307001,0,50
0,5.3079,0,50
0,4.723,0,52
0,4.8283,0,52
0,4.8283,0,50
1,5.9923,1,52
1,5.3544002,0,52
0,4.8406,0,51
0,4.9415998,0,53
1,6.0009999,0,51
0,5.8072,0,51
0,5.4161,1,53
0,5.2982998,0,52
1,5.9521999,0,51
0,5.8469,0,52
0,6.0106001,0,52
1,5.9521999,0,52
0,5.9686999,1,50
0,5.5215001,1,50
1,5.1008,1,50
1,5.2504001,1,53
0,5.2591,0,52
0,5.2077999,0,51
0,5.2591,0,53
0,5.9521999,1,50
1,5.0325999,0,53
0,5.0303998,0,52
0,5.2982998,0,52
1,5.4186001,0,52
0,5.2077999,0,50
0,5.7779002,0,50
0,4.8424001,0,53
1,5.1160002,0,53
1,5.3014002,0,50
0,3.5806999,0,53
0,5.7719002,1,50
0,5.9521999,0,52
0,5.4061999,0,50
0,4.9024,0,50
0,5.6097999,0,50
0,5.8288999,1,51
0,6.1753998,0,53
0,5.8903999,0,50
1,5.1805,0,53
0,5.6974001,1,50
0,5.4330001,0,50
1,5.8916001,0,53
0,5.7291002,0,50
0,5.3534999,0,52
1,5.1055002,0,53
1,5.7897,0,53
0,5.2389002,0,53
1,4.9646001,0,53
0,6.1469998,1,53
0,5.3079,0,50
1,5.2466002,0,53
0,5.7227998,0,53
0,5.8042998,1,50
0,4.4789,0,50
0,5.9521999,0,51
1,6.0714002,0,51
0,5.7599001,0,53
0,6.0521002,0,51
0,5.1845002,1,53
0,4.9024,1,50
0,5.3663001,1,50
0,5.901,1,50
0,5.5918002,1,51
1,5.7038002,0,51
1,6.4770002,1,51
0,4.6613002,1,50
0,5.7663999,0,53
0,5.9521999,0,53
1,6.092,0,53
1,6.0009999,0,50
1,5.8491001,0,51
0,5.9521999,0,52
0,5.0359998,0,50
1,5.9449,1,52
0,.82099998,1,50
1,5.8351002,1,52
0,6.1711001,0,53
0,6.1731,0,51
1,6.0009999,0,50
0,5.4414001,0,51
0,5.6645999,0,51
1,4.4228001,0,53
0,5.0966001,0,53
1,5.9521999,0,53
0,5.9661002,1,50
0,5.4366002,0,52
0,5.5215001,1,51
0,5.2270999,0,53
0,5.4414001,0,50
0,5.6974001,1,53
0,5.4414001,0,50
0,5.3544002,0,51
1,4.8326998,1,52
0,4.6830001,0,52
1,5.2591,0,50
1,5.5591998,0,53
1,5.9288001,0,51
0,5.0725002,1,53
0,5.6645999,0,52
1,4.7810998,0,53
0,5.8901,0,51
0,5.5956001,1,52
0,6.0618,0,50
